PABPC4	PDHA1
PPM1A	AK025239
DEFA1B	DAPK2
PRSS23	SNRNP40
RETN	AURKA
CFP	MANF
MPV17	TBC1D3H
POLR2K	GJA8
WRAP73	RTCB
EEF1G	NAGLU
C14orf166	SRP19
KRT1	217587_at
AMZ2	AGAP1
ATP8B1	MCM5
FSCN1	LST1
KRT19P2	MAPKAPK2
PDZRN3	KIAA0319
PLGLB1	HEATR3
TIMM17A	SCFD1
ZNF211	SIGLEC5
FAU	TUSC2
BAZ1B	ZSCAN12
LIFR	COL8A2
RAB8B	SERTAD3
RPS14P3	RWDD2B
PHF11	SNX5
ST6GALNAC4	PARD3	TMEM242	ALDH1A2
EIF2AK1	GMDS	SCNN1B
216380_x_at	HTRA2
HBQ1	DOK4	BRD4
PGD	LYRM1
R3HCC1	C19orf60
NUAK2	HIST1H2BD
SERPINB1	ZCCHC6	SIRPB1
ETS2	ZNF589
DGUOK	CYP27A1
MKRN1	NUDT4	MTF1	MAP2K3
BAG1	RIT1	PITPNM1
SLC25A37	HR44
FBXO9	217203_at
SIAH2	PRPF19
RAC2	CRYGB
216806_at	SKAP1
NDUFA4	ME3
IL16	EPHB6
PSMA6	ITIH1
CDX1	GIPC2
HHEX	ARF4	PARP4	POLR2B
ECSIT	OXLD1
GSPT1	POMT1
NUMB	AK022067
PDXK	FCN1
CLP1	ANKRD28
DMTN	SYN3	PPP2R5B	GH1
GTF2A2	HSBP1
CARS	216532_x_at
NUDT4P1	GCLC
COX7B	HS2ST1
BIN3	PCYOX1L
CAMSAP2	TYRP1
FBXO28	IREB2
LDLRAP1	CCDC22
SLC2A4	OTOF
ATF4	RAB32	CSNK2B
CCNJL	DPEP3
SRRD	PDZRN3	ECEL1
NINJ1	SCAP
RPS13	DGUOK	TMEM208	MYL12B	ENSA
MCTP2	GNG3
SLC25A6	ATG101
EEF1B2	CHCHD3
HIGD2A	NDUFS8
TNS3	CAMSAP2
KLRG1	APOBEC3F
RPL35A	C19orf60	PABPC4
RPL12	ZNF324
RPS9	DPM3
IRF1	TMEM164
ACAP1	SF3B4
NCOA1	KIAA1324
AK021983	RAB5B
RPL39	CYTL1
RPS3	C6orf48
DDI2	CNNM4
PECAM1	ARPC2	PLBD1
CHST7	CERS2
ATP2C2	MPST
C5orf28	TMEM126B
EIF1B	ZFP36
F13A1	GNG11
GPR126	PPP6R3
SLC15A1	SLC3A2
SYNJ2	ADAM15
SNX10	TMEM30A	ATF2	MAN1A1
PIP4K2A	DCTPP1
DRAP1	EXOSC7
N39314	WFDC1
MBP	NFAT5
RIPK2	BCAT2
RPIA	SACS
NME1-NME2	USP21
FECH	ZNF589
TPT1	RPL23	RBX1	RPL34
TIMP1	MBOAT7
LINC00341	TIMM22
UBAP2	REC8
BNIP3L	SNAPC3
LOC728825	CREG1
HBG2	MBL1P	PAFAH1B2
ZER1	BTNL3
KCNJ15	REPS2
BST1	HIST1H2AJ
GLRX	SERP1
M85256	CD38
DHX8	BIN2
ARRB2	HIST2H2AA4
NFYA	AGRP
WDFY3	SPP1
SYNE2	SUMO2	CFAP20	PSMD14	SETD5
CNGB3	TBCCD1
EMR2	GYG1
MAP1LC3B	ZFP36
MPP1	PCDHGB6
GPR176	F12
LAMTOR3	VCPKMT
MYH9	IL17RA
CTSS	BTG1	CDS2	PSMD14	RBM10
RBM47	EMR2
DCAF6	INHBA
MXI1	SLC1A5
ADIPOR1	RRP15	MARK3
PEBP1	RFX5
MANSC1	PPP1R12B
RPS4X	XIST
TCF3	GATM
DENND3	REPS2
PLEK2	COMMD3	KLK14
MYL4	RANBP10	CACNA1B
IL1B	MX2
GLRX5	DCTPP1
PRDX2	TMEM121
LMBRD1	TGFBR2	CALM2	SLC31A2	MAP4K3	KDM3A	CASP8AP2
GYPA	ECSIT	KMT2B
RPL11	HS2ST1
TROVE2	PIKFYVE	FBXO38	RBM7	RASA1
PDE4B	ATP6V1C1
RPS5	RPS14P3
NSFL1C	GAS7
AUP1	SEC61A1
MYD88	CSNK2B	HK3
PRRX2	OLR1
ASCC2	ERICH1
LGALS3	SLC6A10P	MRPL15
NDUFB8	TSPAN14	TRAPPC2L	EMP3
IFITM3	MYO3A
RPL19	SLIRP	CCT3
POLR2L	PSMB6
ARMCX1	TRIM23
ASIC1	HIST1H4J
DKFZP586I1420	LRRC8E
FGR	PSMD9
GM2A	MAPKAPK3
HLA-DQA1	HLA-DQB1
IER2	ARID1A
IPP	GALNT6
KIAA0513	CERK
LIN7C	GALNT3
MTHFD1	ANKRD40
NOL9	GTF2H5
PPP1R16B	TMEM80
RAB27A	PPFIA3
RNF31	BCAP31
RUVBL2	ULK1
SECISBP2	HYMAI
SLC35B1	NUDT3
THEG	DGCR14
TRIM68	FNBP1
USP24	FDX1
WASF2	ADD1
ZNF226	CLIC5
ZNF263	CHMP3
NUDT1	ENPP3
LYL1	BAGE
GMPR	POLR1C	MPG
PLSCR1	CCR1
S100A9	AIF1
C17orf62	PISD
PER2	MIS12
RPL30	RPS14P3
IGL	IGJ	TXNDC5
NOP10	AF103530
RPL29	LINC00341	VPS51	MPHOSPH9
PTPN6	WDR13
CDA	TPD52L2
LILRA6	LIN7A
RNF10	DCTPP1
GLUL	217203_at
RPL32	C6orf48
RPS6	DDHD2
RPLP1	FHIT
TALDO1	TBXAS1	STAT5B
FBXO7	CTAGE11P	ODF1
ALOX12	SEPT5
CD300A	EMC7
KCNJ2	TLR5
SLX1A	CTNNBL1
RPLP0	PSMB7	ATP5J2	AUP1	EDF1
NDUFC1	C19orf53
HSPBAP1	SS18L1
SSBP1	AF070618
GTF3A	FAM3C
FIS1	RAMP1
PHF21A	UBN1
PPIF	TBXAS1
TCL1A	PCDH9
TMEM186	SLC35E2
PKLR	ZG16	AAGAB
EVL	GBP2
LILRB1	GAS7
RPS25	UBASH3A
MOSPD2	AK021983
RPS23	LSM3	SNRPE
EFHD2	216532_x_at
HOPX	PDGFD
ELF1	RTCA	HAT1	PCMT1
FYN	H2AFV	ERCC3	WDR82	IST1
CHMP1A	AF117899
GNLY	GGA1
YBX1P2	IRX4
RASSF2	CRISPLD2	AK026679
RPL17	PSMA6	EEF1B2	RPL34	RPS24	RPL31	RPS7	RPL39	RPL7
EIF3F	GMPPA
OPTN	222339_x_at
BPGM	CDCA3	MYL7
TPGS2	TCP11L1
CSGALNACT1	ABCA5	ZC3H7A
LIMK2	IGSF9B
DECR1	NDUFB6
FMO5	IL15
CD163	ATP6V1A
HIST1H2BC	KDM6B
JMJD6	DUSP5
LOC100507315	ZBTB5
RAB2A	AL137495
SLC15A2	C1orf159
HCAR3	CECR5
MAP4K4	SLC9A8
XPO6	CBS
RPS10	LSM6
CDK19	ANKEF1
RPS17	TIMM8B	NDUFB2
OAZ1	LOC100505650
TMEM158	CUBN
LAIR1	UBBP2
OLFM4	217519_at
TP53BP1	COPB2
RPA3	RALGPS1
CYAT1	IGJ	TXNDC5	IGL	IGHA2	IGK
NACA	LDLRAP1	PEBP1
221798_x_at	MRPS33	MDH1
TRPS1	TARS
RPLP0P6	ME3
GLTSCR2	ZBTB14
NDUFAB1	SYP
NELFCD	MKLN1
RPL37	ADCK2	PEBP1	ATP5G2
C4orf46	GABRP
TP53TG1	POM121L9P
UBB	ODC1	HGD
TNFRSF1A	ARHGAP26
YBX3	SCN11A
NOSIP	RRAGC
RPL13	MRPS33	MDH1
NIPBL	PSMD11	LCMT1	PSMD14
POLR1D	POLR2K
MUM1	KDM1A
UBE2E3	PEX1
IFRD1	ARHGAP19	PPP4R1
DDX3X	GOLPH3	HIGD1A	EXOC1	SAMSN1
AHSA1	GORASP1
RPL37A	ZBTB48
EMX1	FAHD2CP
220882_at	STX8
SLC15A3	JMJD6
NPEPL1	KDM5C
G3BP2	TXNL1	ZFYVE26	ZNHIT3
RPS29	P2RX4
DHRS7	RTF1	CDC42SE1
UBA7	DCXR
RPS16	SRSF6	LYRM4
CD52	FCGBP
PPIA	ASGR2
AHSP	MYH9
TADA3	WASF2
ERBB2IP	IMPACT	CEP83
F11R	208162_s_at
PTENP1	BAZ1A	ARHGEF40
SORL1	SNX11	N54942
SERPINA1	CD300A
SEC14L1	SP2
DDX27	MLEC
KIAA0247	B4GALT5
MARCKSL1	PITPNC1
FLII	KIAA0513
SPAST	CARD8	LTN1
CEBPB	HAUS4	HCAR3
ATP5L	CYTL1
YTHDC1	BTG1	CDS2	PSMD14	RBM10
RPSA	LOC100272216
FLOT1	ZNF185
SLC25A44	HIST2H2BE
SOD2	ARHGAP26
PPM1F	MPZL1
MARCH2	NTAN1
AP3B1	HCG26
GORASP2	RFTN1
LRRC59	SLC38A10
WDR26	MSL2
BANP	CHMP1A
CLEC2B	SEC62
SLBP	U79277
STK38L	KATNBL1
NDUFB4	SRI	LDHA
221205_at	ACBD4
MARS	STX17
CRIP1	RANGRF
RPL27A	AP1G2
PLAGL2	SMG6
UXT	PI4KAP1
HCP5	NUCB2
IFI16	CCR1
IFITM2	MYO3A
AU148086	PTPRM
CELF2	NIPBL	PSMD11	PSMD14	RBM10
NMI	PTRH2
ARMCX3	KLHDC10
PDIA4	CMC4
RPS27A	GDI1
TAGLN2	KCNE2
RBPJ	APPL2
IGKV3-20	SORT1
CD99	LUC7L	RUNX3	MEA1
NDUFA13	DCAF10
TSG101	ADIPOR2
TRA2A	WDR3	C6orf120	KRIT1
EIF4E2	NDUFV1
GNL3LP1	EAF2
MAN1B1	DSC2
TUBA4A	PELO
RALY	APOL1
NFKB1	RBM14
RPS3A	POLR2K	BCL2A1
RPS28	ATIC	ATP5J2
TCEB2	IMP3
PARK7	ATIC
IL1R1	RAB40A
MOB4	CREB3L2
NFKBIA	HLA-E	KDM4B
FAM45A	IGSF6	214807_at
PACSIN2	HPSE	BST1
ENOX2	RBM34
ZNF106	GRPEL1
DPEP2	HIST1H1C
C2orf68	CPT2
ATP5E	SLC2A4
TOR1AIP1	ENTPD4	SYNJ1	WDR45B
TSTA3	TSC22D4	FA2H	AK021640	CAPN9
KDM7A	SDCCAG3
SOD1	PFKP
NEK7	FAM49B	HIPK1	GNG10	ACAP2
TMED7	TMEM165
PXN	ZKSCAN1
CSF2RA	IKZF1
FBL	RNF167
YTHDF3	KLHDC10
ZNF140	FUCA1
RPS15	RNF167
VTI1B	ROCK2
PBX3	WDR3	C6orf120
UBC	DENND3
DBT	AA861608
DSN1	RMND1
MAPK1	NDUFAF7
ICAM2	SYNGR2
PRKCB	BCAP31	SEMA4D
220857_at	PRL
AK025064	IKBKAP
COX7C	WDR76
KIAA1551	ZNF143
SSR4	SFXN3
PRKD2	VAV1
GZMH	AGAP1	TRIM39-RPP21
CD46	TOR1AIP1	EXOC1	FAS	SAMSN1	JMJD1C
MSL1	HIST1H1C
EMC3	HIST1H4E	RBMS2
ABHD2	SLC35E2
RNF19B	CYP4F2
RHOT1	TOR1B
PGS1	MLXIP
Z39557	SUOX
ALOX5	TBC1D2
RALB	DEDD	SIRPB1
TMEM135	LEMD3	INTS3
COX6C	STK19
UNKL	SERPINI1
F8A3	FHL5
LTF	ELANE
HAL	KDM6A
ATP6V1B2	EMR2
DNAJA1	HSPH1
MICAL2	AL110206
YIPF4	CAAP1
CNTRL	ZFYVE21
NGDN	ZNF131
ATRAID	DKFZP586I1420
UBE2B	RAB33B	HIPK1
CD8A	MT1E
ARHGDIB	DBNDD1
S100A10	TPST2	KIAA0894
IL13RA1	RAB11A
SERINC1	SLBP	CSAD
PELI1	PGRMC1	MFAP3L
INPP5A	FSCN1
ARAP3	NOL12
RGS14	AK022120
RTN4	BTG1	CDS2	PSMD14	CXCR4
OSBPL2	DDAH2
RNF11	RBM34
NDUFB1	220729_at
HNRNPH3	YTHDC1	ZNF146	ZNF638	CCT6A	HSP90AA1
PSMB1	CYTL1
RPS19	KCNN4
KRR1	PSMD11	LCMT1
TBCA	MRGBP
MIF	GMPPA
CSNK1A1	RNF103	COMMD10
SRSF11	AP3S1	GABPB1
VAMP8	NDUFB2
USO1	TOR1AIP1	GK	MAP3K7
POMP	TRAPPC3
AKIRIN1	AKT1	GDE1
RPL24	TIMM17A
BAZ2B	PUM1	MKKS	GLT8D1
PRR14	ADAM8
PILRA	VAV1
