SURF2	CDK5	GHSR	ITGA3
TBC1D17	BZRAP1
TBC1D2	FBP1
THEG	HIST1H2BN
THOC2	ASAP1-IT1
TMCC2	RABEPK
TNIP1	MX2
TOM1L1	PLGLA
UBXN2B	ARPC5
YPEL1	CACNB4
ZNF208	IGKV1OR2-108	AF007143
ZNF862	MAGED4
ZSCAN16	DUS1L
ATG16L1	THNSL1
LOC100289109	C1GALT1
TPM2	S100A5
AF132204	THSD7A
FUBP3	LOC100510581
DDR2	SGSH
ATP9A	PLCB1
ALDH5A1	HBG2
HAGH	BAG1
PSG11	ROBO3
AK023058	ENOX1
F8	TMEM184B
L48784	VNN3
EPHA5	TMEM140
PRR11	PTTG2	RALGPS2
MAGEA6	FLJ14100	LINC00563
DENND4A	MON2
PTCD2	PRDM12	PIAS2
C14orf1	ATP6V0A4
KRT13	CREB1
RNF2	ABHD3
NFYB	PMAIP1
ARHGAP35	RHBDF2
PPIEL	TGIF1
OR11A1	RAB9A
HERC2	PDPN	OCM2
ZNF224	CCNL1
RPLP1	RPS14P3
FOXO3B	HPS1
RNF11	STAU1	HDGF
ZNF787	MEOX1
PPCDC	STK17B
ALOX15B	CCR6	OCM2
IL20RA	LOC101929148
DCAF17	ALG3
NRXN2	SMYD5
ZNF408	RIN1
CARD10	POLR3K
LPCAT1	STK39
BCL2L1	RBP3
REST	THSD7A
MRPL19	SMU1
ABCD4	HIST1H2AJ
GYPA	EMX1
NUP155	FCGBP	NFIC
TNC	MYH3	ADAM8
NME1-NME2	ELAC1
PAEP	C11orf71	KLK3
DENND6B	FZD7
ZNF32	NME5
ASL	KRBOX4
HTT	AARS
IFIH1	HNRNPA3P1	FLJ21369
CSGALNACT1	MEF2C
MOGAT2	SSR2	SAR1A
ARID4A	EP300	SAT1
MYLK3	PLCB1
RAB28	NBEA
FOXO3	BRD4
ARHGAP24	GRM3	ETV6
GYPE	EIF3G
GAGE8	PRPF31
MLLT4	AL049331
EHF	ZNF710
PKNOX1	INTS1
ANXA3	KCNJ15
ACAA1	MTHFD1
USP18	AU146646
