P02679;P02675;1
P26038;P15311;1
P13010;P12956;1
Q9NRD9;P07202;1
Q15363;P49755;1
Q05586;Q13224;1
P02679;P02671;1
P43681;P17787;1
P00734;P04070;1
O14893;P62318;1
Q6WBX8;O75943;1
Q13153;P51813;1
Q5RKV6;Q06265;1
Q15797;O43541;1
P00734;P01008;1
P56915;Q9Y261;1
Q13233;P04049;1
Q13547;Q09028;1
P15311;O14745;1
P35869;P27540;1
Q13153;Q05655;1
P60900;P25788;1
P39900;P00748;1
P62191;P35998;1
O15111;O14757;1
P60880;P63027;1
Q15762;P06241;1
Q14155;Q13153;1
P62306;P62308;1
Q969H0;P46531;1
P24864;P12004;1
Q14790;P42574;1
Q14289;P43121;1
P05787;P05783;1
P29597;P06241;1
P02533;P13647;1
P13612;P05556;1
P00533;Q15139;1
Q9UQE7;Q14683;1
P05108;P10109;1
Q13042;P30260;1
Q9UDY8;O95999;1
Q13153;P04049;1
Q6WBX8;O60671;1
Q12959;Q15303;1
P13010;P12004;1
P06241;O60500;1
Q16611;Q07812;1
P14598;Q86UR1;1
Q13523;Q9H307;1
P31269;O14770;1
Q9Y3F4;O15105;1
Q08881;P51813;1
O75578;P05556;1
P17612;P49768;1
P62318;P62308;1
P04233;P04440;1
Q15596;P27540;1
P06241;P04049;1
Q05655;P12931;1
P24941;P12004;1
P25788;P25787;1
Q14790;Q13158;1
P60033;P21926;1
P61158;O15145;1
Q9Y4K3;P62191;1
P62306;P62304;1
P30926;P43681;1
Q9UBL3;Q03164;1
P06239;P06127;1
P26038;O14745;1
O14640;P35222;1
Q13813;P05771;1
Q14289;Q05655;1
Q04756;O43278;1
Q9UHD2;Q14653;1
Q02447;P06400;1
Q9BQ04;P52272;1
Q9BZK7;O15379;1
Q9BV40;O15400;1
P62308;P62304;1
P36575;Q00610;1
P17301;P05556;1
Q12879;Q05586;1
P55884;O75822;1
P35869;Q15596;1
Q969H0;Q99466;1
P07996;P02671;1
P49418;P17600;1
Q12834;P30260;1
Q9H3M7;P10599;1
P08648;P05556;1
P55212;P42574;1
Q6WBX8;Q99638;1
P13497;P98160;1
Q16623;P60880;1
Q9Y2T1;P35222;1
P00441;Q15046;1
O14893;P08621;1
Q9UHD9;Q16186;1
P62316;P62314;1
Q02156;P06241;1
P17612;P04049;1
P24941;Q02363;1
O75376;O15379;1
P54317;P04118;1
P52333;P23458;1
Q16659;P05771;1
Q7Z460;Q15691;1
Q14289;P06241;1
Q08881;P06241;1
Q13547;P19838;1
P31930;P22695;1
P02675;P02671;1
P49721;P49720;1
A0N775;P15391;1
Q9Y496;O15066;1
Q9Y5S9;P38919;1
P26038;P19320;1
Q14126;Q02487;1
Q92769;Q13547;1
P00533;P35222;1
O00268;Q15545;1
Q05586;O15399;1
Q9H840;P62318;1
P49736;P11802;1
